iter	Passed	Remaining
424	1816	2457
425	1820	2452
426	1824	2447
427	1827	2442
428	1831	2437
429	1835	2432
430	1839	2428
431	1843	2423
432	1847	2419
433	1851	2414
434	1855	2409
435	1859	2404
436	1862	2399
437	1866	2394
438	1870	2390
439	1874	2385
440	1878	2380
441	1881	2375
442	1885	2370
443	1889	2365
444	1892	2360
445	1896	2355
446	1900	2351
447	1904	2346
448	1908	2341
449	1911	2336
450	1915	2331
451	1919	2326
452	1922	2321
453	1926	2316
454	1930	2312
455	1934	2307
456	1937	2302
457	1941	2297
458	1945	2293
459	1949	2288
460	1953	2283
461	1957	2279
462	1961	2274
463	1965	2270
464	1968	2265
465	1972	2260
466	1976	2255
467	1979	2250
468	1983	2245
469	1987	2241
470	1991	2236
471	1994	2231
472	1998	2226
473	2002	2221
474	2005	2217
475	2009	2212
476	2013	2207
477	2017	2202
478	2022	2199
479	2026	2194
480	2029	2190
481	2033	2185
482	2037	2181
483	2041	2176
484	2045	2171
485	2049	2167
486	2052	2162
487	2056	2157
488	2060	2152
489	2064	2148
490	2068	2143
491	2071	2139
492	2075	2134
493	2079	2130
494	2083	2125
495	2087	2120
496	2090	2116
497	2094	2111
498	2098	2106
499	2101	2101
500	2105	2097
501	2109	2092
502	2112	2087
503	2116	2082
504	2120	2078
505	2124	2073
506	2128	2069
507	2132	2064
508	2135	2060
509	2139	2055
510	2143	2051
511	2147	2046
512	2150	2041
513	2154	2037
514	2158	2032
515	2162	2027
516	2165	2023
517	2170	2019
518	2174	2015
519	2178	2010
520	2181	2005
521	2185	2001
522	2189	1996
523	2192	1991
524	2196	1987
525	2200	1983
526	2204	1978
527	2208	1974
528	2212	1969
529	2216	1965
530	2220	1961
531	2224	1956
532	2228	1952
533	2233	1948
534	2237	1944
535	2241	1940
536	2244	1935
537	2248	1930
538	2252	1926
539	2255	1921
540	2260	1917
541	2264	1913
542	2268	1909
543	2272	1904
544	2276	1900
545	2280	1896
546	2283	1891
547	2287	1887
548	2291	1882
549	2295	1878
550	2299	1873
551	2302	1869
552	2307	1865
553	2311	1860
554	2315	1856
555	2319	1851
556	2323	1848
557	2327	1843
558	2332	1839
559	2336	1835
560	2340	1831
561	2343	1826
562	2347	1822
563	2352	1818
564	2356	1814
565	2360	1809
566	2363	1805
567	2367	1800
568	2371	1796
569	2375	1791
570	2378	1787
571	2383	1783
572	2388	1779
573	2392	1775
574	2396	1771
575	2399	1766
576	2403	1762
577	2407	1757
578	2411	1753
579	2416	1749
580	2420	1745
581	2424	1741
582	2429	1737
583	2434	1734
584	2438	1729
585	2442	1725
586	2446	1721
587	2450	1717
588	2454	1712
589	2458	1708
590	2462	1704
591	2466	1700
592	2470	1695
593	2474	1691
594	2478	1686
595	2481	1682
596	2486	1678
597	2490	1673
598	2494	1670
599	2498	1665
600	2502	1661
601	2507	1657
602	2511	1653
603	2515	1649
604	2519	1644
605	2523	1640
606	2527	1636
607	2531	1632
608	2535	1627
609	2539	1623
610	2543	1619
611	2547	1614
612	2550	1610
613	2554	1605
614	2558	1601
615	2562	1597
616	2566	1593
617	2570	1588
618	2574	1584
619	2578	1580
620	2582	1576
621	2587	1572
622	2591	1567
623	2595	1563
624	2599	1559
625	2603	1555
626	2607	1550
627	2611	1546
628	2615	1542
629	2618	1538
630	2623	1534
631	2627	1530
632	2631	1525
633	2635	1521
634	2639	1517
635	2643	1512
636	2646	1508
637	2650	1503
638	2654	1499
639	2658	1495
640	2662	1491
641	2666	1487
642	2670	1482
643	2675	1479
644	2680	1475
645	2685	1471
646	2689	1467
647	2693	1462
648	2697	1458
649	2701	1454
650	2705	1450
651	2710	1446
652	2714	1442
653	2720	1439
654	2728	1437
655	2735	1434
656	2745	1433
657	2757	1433
658	2764	1430
659	2771	1427
660	2776	1424
661	2780	1419
662	2784	1415
663	2788	1411
664	2803	1412
665	2808	1408
666	2813	1404
667	2817	1400
668	2823	1397
669	2828	1393
670	2832	1388
671	2837	1384
672	2841	1380
673	2845	1376
674	2849	1372
675	2853	1367
676	2857	1363
677	2861	1358
678	2864	1354
679	2868	1349
680	2872	1345
681	2876	1341
682	2880	1336
683	2884	1332
684	2888	1328
685	2892	1324
686	2897	1320
687	2901	1315
688	2905	1311
689	2909	1307
690	2913	1302
691	2917	1298
692	2920	1293
693	2925	1289
694	2930	1285
695	2934	1281
696	2938	1277
697	2941	1272
698	2945	1268
699	2949	1263
700	2952	1259
701	2956	1255
702	2961	1251
703	2965	1246
704	2969	1242
705	2973	1238
706	2978	1234
707	2982	1230
708	2986	1225
709	2990	1221
710	2994	1217
711	2998	1213
712	3003	1208
713	3007	1204
714	3011	1200
715	3015	1196
716	3019	1191
717	3023	1187
718	3026	1182
719	3030	1178
720	3035	1174
721	3039	1170
722	3043	1166
723	3047	1161
724	3051	1157
725	3055	1153
726	3059	1148
727	3063	1144
728	3067	1140
729	3071	1135
730	3075	1131
731	3078	1127
732	3082	1122
733	3086	1118
734	3090	1114
735	3094	1109
736	3097	1105
737	3101	1101
738	3105	1096
739	3109	1092
740	3113	1088
741	3117	1084
742	3121	1079
743	3125	1075
744	3128	1070
745	3132	1066
746	3136	1062
747	3140	1057
748	3144	1053
749	3147	1049
750	3151	1044
751	3155	1040
752	3158	1036
753	3162	1031
754	3166	1027
755	3170	1023
756	3173	1018
757	3177	1014
758	3181	1010
759	3185	1005
760	3189	1001
761	3192	997
762	3196	992
763	3200	988
764	3204	984
765	3207	979
766	3212	975
767	3215	971
768	3219	967
769	3223	962
770	3227	958
771	3231	954
772	3235	950
773	3239	946
774	3243	941
775	3247	937
776	3251	933
777	3254	928
778	3258	924
779	3262	920
780	3265	915
781	3269	911
782	3273	907
783	3277	902
784	3281	898
785	3285	894
786	3288	890
787	3293	886
788	3297	881
789	3301	877
790	3305	873
791	3309	869
792	3312	864
793	3316	860
794	3320	856
795	3324	852
796	3328	847
797	3331	843
798	3335	839
799	3339	834
800	3343	830
801	3346	826
802	3350	822
803	3355	817
804	3359	813
805	3363	809
806	3367	805
807	3371	801
808	3375	796
809	3378	792
810	3383	788
811	3387	784
812	3390	779
813	3394	775
814	3398	771
815	3402	767
816	3405	762
817	3410	758
818	3414	754
819	3418	750
820	3421	746
821	3425	741
822	3429	737
823	3433	733
824	3437	729
825	3441	725
826	3448	721
827	3453	717
828	3460	713
829	3464	709
830	3469	705
831	3474	701
832	3478	697
833	3483	693
834	3488	689
835	3493	685
836	3497	681
837	3502	677
838	3506	672
839	3510	668
840	3514	664
841	3518	660
842	3521	655
843	3525	651
844	3529	647
845	3533	643
846	3537	639
847	3541	634
848	3545	630
849	3549	626
850	3553	622
851	3557	617
852	3561	613
853	3565	609
854	3569	605
855	3572	601
856	3576	596
857	3580	592
858	3584	588
859	3588	584
860	3592	579
861	3595	575
862	3599	571
863	3603	567
864	3608	563
865	3612	558
866	3615	554
867	3619	550
868	3623	546
869	3627	542
870	3632	538
871	3640	534
872	3645	530
873	3651	526
874	3655	522
875	3659	518
876	3663	513
877	3667	509
878	3671	505
879	3675	501
880	3678	496
881	3683	492
882	3687	488
883	3690	484
884	3694	480
885	3698	475
886	3701	471
887	3705	467
888	3709	463
889	3713	458
890	3717	454
891	3721	450
892	3724	446
893	3729	442
894	3733	437
895	3737	433
896	3740	429
897	3745	425
898	3749	421
899	3752	416
900	3756	412
901	3760	408
902	3764	404
903	3767	400
904	3771	395
905	3775	391
906	3779	387
907	3783	383
908	3786	379
909	3790	374
910	3794	370
911	3797	366
912	3801	362
913	3806	358
914	3810	353
915	3814	349
916	3818	345
917	3822	341
918	3825	337
919	3829	332
920	3833	328
921	3837	324
922	3841	320
923	3845	316
924	3850	312
925	3854	308
926	3858	303
927	3861	299
928	3865	295
929	3869	291
930	3873	287
931	3877	282
932	3881	278
933	3885	274
934	3888	270
935	3892	266
936	3896	261
937	3900	257
938	3904	253
939	3907	249
940	3911	245
941	3915	241
942	3918	236
943	3922	232
944	3926	228
945	3931	224
946	3934	220
947	3938	216
948	3942	211
949	3946	207
950	3950	203
951	3954	199
952	3958	195
953	3962	191
954	3965	186
955	3969	182
956	3973	178
957	3977	174
958	3980	170
959	3984	166
960	3988	161
961	3992	157
962	3996	153
963	4000	149
964	4003	145
965	4007	141
966	4011	136
967	4015	132
968	4019	128
969	4023	124
970	4027	120
971	4031	116
972	4035	111
973	4039	107
974	4043	103
975	4048	99
976	4052	95
977	4055	91
978	4059	87
979	4063	82
980	4067	78
981	4071	74
982	4074	70
983	4078	66
984	4082	62
985	4086	58
986	4090	53
987	4094	49
988	4097	45
989	4101	41
990	4105	37
991	4109	33
992	4113	28
993	4116	24
994	4120	20
995	4124	16
996	4128	12
997	4131	8
998	4135	4
999	4139	0
