iter	Logloss
0	0.6815380425
1	0.6693966846
2	0.6574299171
3	0.6479646201
4	0.6372813784
5	0.6291660724
6	0.6198690284
7	0.6117553617
8	0.6018571273
9	0.594017238
10	0.5877318525
11	0.5814355192
12	0.5746918366
13	0.5685533384
14	0.5637168032
15	0.5589565046
16	0.5545302236
17	0.5505694964
18	0.5461903654
19	0.5423652285
20	0.5392033654
21	0.5334031614
22	0.5296666529
23	0.5256889408
24	0.5229602621
25	0.5191845813
26	0.5156443651
27	0.5120456523
28	0.5093607068
29	0.5066328696
30	0.503959942
31	0.5019096418
32	0.4981946552
33	0.4952380224
34	0.4929905826
35	0.490783789
36	0.4885929779
37	0.486759051
38	0.4849135661
39	0.4826276982
40	0.4810585954
41	0.4788921137
42	0.4766632013
43	0.4746103473
44	0.4728912331
45	0.4710970326
46	0.4697260489
47	0.4681485824
48	0.4665396917
49	0.4652430259
50	0.4636055304
51	0.4620566372
52	0.4607737842
53	0.4597280974
54	0.4585426146
55	0.4571740353
56	0.4560971977
57	0.4550409394
58	0.4537726537
59	0.4526981889
60	0.4520001141
61	0.450473144
62	0.449740087
63	0.4488116788
64	0.4474531785
65	0.4463163183
66	0.4455658469
67	0.4443115057
68	0.4436545223
69	0.4427571574
70	0.4419270242
71	0.4406646576
72	0.439729434
73	0.4390858288
74	0.4384090577
75	0.4377129004
76	0.4369559982
77	0.4364556338
78	0.4356042029
79	0.4349144045
80	0.4343216359
81	0.4336159123
82	0.4331783294
83	0.4327322331
84	0.4319712224
85	0.4312615942
86	0.4307915836
87	0.4302177831
88	0.4297856377
89	0.4290682883
90	0.4286367407
91	0.4280220261
92	0.4274399019
93	0.4270673566
94	0.4265590581
95	0.4259966929
96	0.4255663375
97	0.4249092344
98	0.42443758
99	0.4236301637
100	0.4231491549
101	0.4226271899
102	0.422050524
103	0.4215456204
104	0.4212812802
105	0.4209298018
106	0.420409882
107	0.4198976415
108	0.4194909555
109	0.4188717257
110	0.4185122972
111	0.4182439315
112	0.417792651
113	0.4173731431
114	0.4167441998
115	0.4165094928
116	0.4160861753
117	0.4155836176
118	0.4152576647
119	0.414944132
120	0.4145378336
121	0.4141333984
122	0.4139178121
123	0.4136172599
124	0.4133763612
125	0.4128744977
126	0.4126532928
127	0.4121352979
128	0.4118165636
129	0.4116156564
130	0.4113507854
131	0.4111179256
132	0.4109160631
133	0.4106712901
134	0.4104354432
135	0.4100329694
136	0.4097746378
137	0.4093463075
138	0.4090517174
139	0.4086471315
140	0.4084555575
141	0.4082621618
